#,0,1
0,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_000_001, se déroule ac­tu­el­le­ment au squarrre des duellistes ! Qui seront les heureux gagnants d' ? Le suspense est à son comble !
1,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_000_002,"Bonsoirrr ! Vous êtes nouvelle par ici, n'est-ce pas ? Vous avez frappé à la bonne porte ! En effet, je suis chargée des ex­pli­ca­tions concernant les tournois de Triple Triade."
2,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_000_003,"Mais j'y pense... Peut-être devriez-vous vous mesurer à la croupière du guichet principal pour mettre en pratique les rrrègles de base ? Ça vous sera cer­tai­ne­ment utile si vous voulez participer aux tournois ! Le guichet est juste en bas de l'escalier, vous ne pouvez pas le rater !"
3,TEXT_CMNGSCTRIPLETRIADCUP_00247_Q1_000_001,Que voulez-vous faire ?
4,TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_001,S'inscrire au tournoi
5,TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_002,Voir le classement
6,TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_006,Demander comment vérifier le classement
7,TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_003,En savoir plus sur les récompenses
8,TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_004,En savoir plus sur les tournois
9,TEXT_CMNGSCTRIPLETRIADCUP_00247_A1_000_005,Annuler
10,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_010_001,Voulez-vous vous inscrire au tourrrnoi “” ?
11,TEXT_CMNGSCTRIPLETRIADCUP_00247_Q2_000_001,S'inscrire au tournoi “” ?
12,TEXT_CMNGSCTRIPLETRIADCUP_00247_A2_000_001,Oui
13,TEXT_CMNGSCTRIPLETRIADCUP_00247_A2_000_002,Non
14,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_001,"Chèrrre Player Player, votre inscription a été validée ! Bonne chance à vous !"
15,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_002, se déroulera du mardi 27.8.2013 à 8h au mardi 27.8.2013 à 8h (temps réel).
16,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_103,Les duels de tournoi ne peuvent être joués que dans l'arène Triple Triade. Pour cela veuillez vous adresser sur place à l'une des assistantes du croupier.
17,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_004,"Si vous sortez de l'arène après avoir joué au moins un match de tournoi, vous vous retrouverez au­to­ma­ti­que­ment au square des duellistes du Gold Saucer, ce afin de permettre de comptabiliser le résultat dans le classement."
18,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_005,Vous serez également conduite systématiquement au Gold Saucer dès lors qu'il ne restera plus que 15 minutes (temps réel) avant la fin du tournoi en cours.
19,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_011_003,"Le tournoi suivant commence une semaine après la fin du tournoi en cours (temps réel). Pour ne pas perdre définitivement votre récompense, veillez à la récupérer avant la fin de ce délai."
20,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_020_001,Voici le classement prrrovisoire du tournoi en cours.
21,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_020_002,Vous pouvez vérifier la place que vous occupez à tout moment en consultant le tableau des classements situé au square des duellistes.
22,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_000,Les récompenses diffèrent selon le tourrrnoi organisé.
23,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_001,"En ce qui concerne , les laurrréats de la première à la troisième place gagnent  !"
24,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_101,"Et ce n'est pas tout ! Chaque joueurrr reçoit également un certain nombre de points du Gold Saucer, ou “PGS”, en fonction de sa position dans le classement. Cette fois-ci, le maximum pouvant être obtenu est de 0 PGS !"
25,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_002,Les par­ti­ci­pants de la quatrième à la sixième place repartent avec  ainsi qu'avec le nombre de PGS correspondant à leur rang.
26,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_007,Les joueurrrs qui se seront positionnés entre les septième et dixième places se verront récompensés avec  en plus d'un montant de PGS dépendant de leur classement.
27,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_003,"Quant à ceux ayant terminé entre la onzième et la vingtième position, ils auront droit à  et, vous l'aurez deviné, des PGS !"
28,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_004,Même ceux qui ne sont pas parvenus à se faire une place parmi les vingt premiers repartent tout de même avec 0 PGS !
29,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_005,"De plus, sachez que vous pourrez même obtenirrr un bonus de PGS déterminé en fonction de votre score final !"
30,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_030_006,"Et ce n'est pas tout car en plus de ce bonus, il y a également  à la clef ! Vous voyez, il n'y a vraiment aucune rrraison de ne pas participer !"
31,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_040_001,"Au Gold Saucer, nous organisons ré­gu­liè­re­ment des événements que tous les duellistes en herbe attendent, j'ai nommé les tourrrnois de Triple Triade !"
32,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_040_002,Le but des par­ti­ci­pants de chaque tournoi est d'obtenir le meilleur score possible afin de se hisser dans les hautes sphères du classement.
33,TEXT_CMNGSCTRIPLETRIADCUP_00247_TTCUP_040_003,"C'est également l'occasion pour nos meilleurs joueurs, présents dans l'arène Triple Triade, de donner du fil à retorrrdre aux aventuriers... Évaluez bien le moindre de vos coups lorsque vous les affronterez !"
