#,0,1
0,TEXT_LUCKZG001_03486_SEQ_00,"** Schwierigkeitsanpassung**
Der Händler aus Crystarium möchte den Brunnen des Dorfes benutzen."
1,TEXT_LUCKZG001_03486_SEQ_01,
2,TEXT_LUCKZG001_03486_SEQ_02,
3,TEXT_LUCKZG001_03486_SEQ_03,
4,TEXT_LUCKZG001_03486_SEQ_04,
5,TEXT_LUCKZG001_03486_SEQ_05,
6,TEXT_LUCKZG001_03486_SEQ_06,
7,TEXT_LUCKZG001_03486_SEQ_07,
8,TEXT_LUCKZG001_03486_SEQ_08,
9,TEXT_LUCKZG001_03486_SEQ_09,
10,TEXT_LUCKZG001_03486_SEQ_10,
11,TEXT_LUCKZG001_03486_SEQ_11,
12,TEXT_LUCKZG001_03486_SEQ_12,
13,TEXT_LUCKZG001_03486_SEQ_13,
14,TEXT_LUCKZG001_03486_SEQ_14,
15,TEXT_LUCKZG001_03486_SEQ_15,
16,TEXT_LUCKZG001_03486_SEQ_16,
17,TEXT_LUCKZG001_03486_SEQ_17,
18,TEXT_LUCKZG001_03486_SEQ_18,
19,TEXT_LUCKZG001_03486_SEQ_19,
20,TEXT_LUCKZG001_03486_SEQ_20,
21,TEXT_LUCKZG001_03486_SEQ_21,
22,TEXT_LUCKZG001_03486_SEQ_22,
23,TEXT_LUCKZG001_03486_SEQ_23,
24,TEXT_LUCKZG001_03486_TODO_00,Mit Ghil Gil sprechen
25,TEXT_LUCKZG001_03486_TODO_01,Fleischstücke von  erbeuten
26,TEXT_LUCKZG001_03486_TODO_02,Ghil Gil  bringen
27,TEXT_LUCKZG001_03486_TODO_03,Dem Händler aus Crystarium  bringen
28,TEXT_LUCKZG001_03486_TODO_04,
29,TEXT_LUCKZG001_03486_TODO_05,
30,TEXT_LUCKZG001_03486_TODO_06,
31,TEXT_LUCKZG001_03486_TODO_07,
32,TEXT_LUCKZG001_03486_TODO_08,
33,TEXT_LUCKZG001_03486_TODO_09,
34,TEXT_LUCKZG001_03486_TODO_10,
35,TEXT_LUCKZG001_03486_TODO_11,
36,TEXT_LUCKZG001_03486_TODO_12,
37,TEXT_LUCKZG001_03486_TODO_13,
38,TEXT_LUCKZG001_03486_TODO_14,
39,TEXT_LUCKZG001_03486_TODO_15,
40,TEXT_LUCKZG001_03486_TODO_16,
41,TEXT_LUCKZG001_03486_TODO_17,
42,TEXT_LUCKZG001_03486_TODO_18,
43,TEXT_LUCKZG001_03486_TODO_19,
44,TEXT_LUCKZG001_03486_TODO_20,
45,TEXT_LUCKZG001_03486_TODO_21,
46,TEXT_LUCKZG001_03486_TODO_22,
47,TEXT_LUCKZG001_03486_TODO_23,
48,TEXT_LUCKZG001_03486_MERCHANT03486_000_000,"Reisende, wärst du so freundlich, mir zu helfen?"
49,TEXT_LUCKZG001_03486_MERCHANT03486_000_001,"Ich möchte von Crystarium aus meine Handels­be­ziehungen mit anderen Dörfern ausbauen und denke daran, Chocobos für den Transport einzusetzen. Nun bin ich unterwegs, um die Strecken aus­zu­kund­schaften und neue Kontakte zu knüpfen."
50,TEXT_LUCKZG001_03486_MERCHANT03486_000_002,"Als ich den Brunnen hier im Dorf nutzen wollte, wurde ich plötzlich mit einem stinkenden Pulver beworfen und weggejagt."
51,TEXT_LUCKZG001_03486_MERCHANT03486_000_003,"Jetzt weiß ich nicht, was ich machen soll. Mein Chocobo muss unbedingt etwas trinken, sonst kommen wir nicht mehr weit."
52,TEXT_LUCKZG001_03486_MERCHANT03486_000_004,"Könntest du bitte im Dorf nachfragen, warum man mich vertrieben hat?"
53,TEXT_LUCKZG001_03486_MERCHANT03486_000_010,"Bitte frage im Dorf nach, warum ich den Brunnen nicht benutzen darf?"
54,TEXT_LUCKZG001_03486_GHILGIL_000_020,"Warum Händler ich habe vertrieben? Na, weil Chocobo von  verfolgt wird. Dumme Frage!"
55,TEXT_LUCKZG001_03486_GHILGIL_000_021,"Verdammt gefährlich, diese Biester! Wollen wir nicht in Dorf locken, nein, wollen wir nicht!"
56,TEXT_LUCKZG001_03486_GHILGIL_000_022,"Pass auf! Erledige du , dann dürfen Händler an Brunnen."
57,TEXT_LUCKZG001_03486_GHILGIL_000_023,"Bringst du zwei Stücke Fleisch von  als Beweis, ja!"
58,TEXT_LUCKZG001_03486_MERCHANT03486_000_030," hatten es auf meinen Chocobo abgesehen?! Oje, davon hatte ich überhaupt nichts mitbekommen ..."
59,TEXT_LUCKZG001_03486_GHILGIL_000_031,"Bringst du zwei Stücke Fleisch von  als Beweis, ja!"
60,TEXT_LUCKZG001_03486_GHILGIL_000_040,Erfolgreich du warst? Dann zeig mir !
61,TEXT_LUCKZG001_03486_GHILGIL_000_041,Du geschafft! Ich nicht hatte erwartet!
62,TEXT_LUCKZG001_03486_GHILGIL_000_042,"Für uns ist keine Gefahr mehr, also kann Händler an Brunnen. Ja, ja, aber gibst du ihm Beutel mit Stinkepulver."
63,TEXT_LUCKZG001_03486_GHILGIL_000_043,"Stinkepulver aus getrocknetem Leguanfleisch, vermischt mit einigen Kräutern. Lebende Leguane können Gestank nicht ausstehen!"
64,TEXT_LUCKZG001_03486_GHILGIL_000_050,Gib dem Händler aus Crystarium . Gestank wird Leguane vertreiben!
65,TEXT_LUCKZG001_03486_MERCHANT03486_000_060,"Ah, da bist du ja wieder! Wie lief es? Darf ich vielleicht doch mit meinem Chocobo an den Brunnen?"
66,TEXT_LUCKZG001_03486_MERCHANT03486_000_061,"Ohhh, das ist dasselbe Pulver, mit dem ich beworfen wurde! Damit wollten sie also die Leguane vertreiben. Ich wusste ja nicht, dass ich das Dorf in Gefahr gebracht hatte."
67,TEXT_LUCKZG001_03486_MERCHANT03486_000_062,"Wie gut, dass du das Miss­ver­ständ­nis aufgeklärt hast und ich nun den Brunnen benutzen darf. So könnte dieses Dorf zu einer wichtigen Station meiner Handelsrouten werden."
68,TEXT_LUCKZG001_03486_MERCHANT03486_000_063,"Ich werde mich gleich persönlich bei den Dorfbewohnern vorstellen. Vielen Dank, Reisende!"
69,TEXT_LUCKZG001_03486_MORD03486_000_020,（★未使用／削除予定★）
70,TEXT_LUCKZG001_03486_MORD03486_000_021,（★未使用／削除予定★）
71,TEXT_LUCKZG001_03486_MORD03486_000_022,（★未使用／削除予定★）
72,TEXT_LUCKZG001_03486_MORD03486_000_023,（★未使用／削除予定★）
73,TEXT_LUCKZG001_03486_MORD03486_000_031,（★未使用／削除予定★）
74,TEXT_LUCKZG001_03486_MORD03486_000_040,（★未使用／削除予定★）
75,TEXT_LUCKZG001_03486_MORD03486_000_041,（★未使用／削除予定★）
76,TEXT_LUCKZG001_03486_MORD03486_000_042,（★未使用／削除予定★）
77,TEXT_LUCKZG001_03486_MORD03486_000_043,（★未使用／削除予定★）
78,TEXT_LUCKZG001_03486_MORD03486_000_050,（★未使用／削除予定★）
