#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
0,,,0,0,0,0,0
1,切換行動狀態,在拔出武器與收回武器的狀態間切換。,16,1,1,1,-5
2,角色,查看角色的各項狀態參數，也可以進行變更裝備、修改稱號等操作。,1,6,1,6,0
3,技能選單,查看角色已經學會的各種技能，可以將技能設置到快速鍵上、選擇職能技能等多項操作。,4,2,1,2,-4
4,日誌,查看當前已經接受和已經完成的任務及理符任務，切換任務情報中顯示的任務，開始或放棄理符任務等。,5,4,2,22,0
5,任務情報,查看關於任務的各種帶有計時的情報。理符受理限額的更新時間、友好部族日常的剩餘受理限額等。,47,13,2,31,9
6,成就,查看成就的完成狀況、達成條件及達成報酬等情報。,6,18,1,18,12
7,採集筆記,查看採集作業所能夠獲得的道具，也可以查看目標道具可以在哪片地區採集到。,23,4,3,35,1
8,討伐筆記,查看戰鬥職業的討伐目標及其數量和生息地，以及成功討伐後能夠獲得的經驗等獎勵。,21,1,3,32,-2
9,製作筆記,查看製作職業的各種配方，也可以直接開始製作作業。,22,3,3,34,0
10,物品,查看當前背包中的物品和水晶，也可以進行裝備、使用、排列順序等操作。,2,8,1,8,2
11,任務道具,查看當前背包中的任務道具，在放棄任務時會丟棄相關的任務道具。,3,3,2,21,-1
12,小隊隊員,查看小隊中的隊員，也可以進行更改排序、離開小隊、解散小隊等操作。,17,1,5,46,0
13,好友名單,查看自己的好友，可以直接發送悄悄話。也可以向好友發送組隊邀請。,18,10,6,62,7
14,黑名單,查看被列入黑名單的人，這些人的發言不會被看到，交易和組隊等各種邀請也會被自動遮罩。,19,12,6,64,9
15,玩家搜尋,透過各種指定條件搜尋其他玩家。,20,1,6,53,-2
16,地圖,查看自己和小隊隊員的位置，以及乙太之光和商店的所在地、任務目的地等情報，地圖可以進行縮放，也可以查看其他地區的地圖。,7,4,4,43,0
17,情感動作,查看玩家表達情感的各種動作，在與他人的交流中能夠起到很大作用。,9,3,6,55,0
18,目標標記,在目標的頭頂設置小隊與團隊可見的圖示記號。,10,3,5,48,2
19,系統設定,對聲音、圖像等系統項目進行調整。,29,6,7,72,1
20,鍵位設定,為各種操作、快捷鍵功能等配置自己慣用的鍵位。,28,9,7,75,4
21,巨集管理,透過各種文本指令組合能夠創建使用者巨集命令。既可以創建角色專用的巨集命令，也可以創建各角色公用的巨集命令。創建完成的巨集命令可以設置到快速鍵上。在文本指令一覽中可以進行查看。,30,8,7,74,3
22,介面設定,修改遊戲介面中各個視窗的位置和大小，設定是否顯示視窗，還可以切換成已保存的介面。,31,7,7,73,2
23,返回標題畫面,退出當前角色，回到遊戲的標題畫面。,27,10,7,77,6
24,退出遊戲,退出並關閉遊戲用戶端。,26,11,7,78,7
25,兵裝庫,收納獲得的裝備。每個部位的裝備都會單獨收納，可以查看及裝備到身上。,32,7,1,7,1
26,,,0,0,0,0,0
27,公會,查看所屬公會的各種情報。,8,4,6,56,1
28,通訊貝,查看所屬的所有通訊貝的成員情報。,11,7,6,59,4
29,釣魚筆記,記錄了漁師的捕魚成果及釣場，在各種地域釣魚會追加記錄內容。,24,5,3,36,2
30,新手指南,查看已經出現過的新手指南。,33,4,7,70,-1
31,推薦任務,查看周圍地區適合當前情況接受的任務及臨危受命，還有適合當前等級的副本任務。,25,1,2,19,-3
32,隱私政策,查看關於個人資訊的收集、使用、儲存情況，以及相關的清單。,13,1,7,67,-4
33,任務搜尋器,可確認副本迷宮和行會令等組隊任務的內容和參加條件以及申請參加任務。參加時可以自動組成小隊參加或以任意編成進行挑戰。,46,5,2,23,1
34,角色設定,對操作、介面、快速鍵、消息欄等與角色相關的項目進行調整。,48,5,7,71,0
35,傳送,消耗相應的Gil，瞬間移動到已經共鳴過的水晶之光所在地，可以帶領小隊隊員一起移動。,0,0,4,44,1
36,返回,瞬間移動到設定為返回點的水晶之光所在地，不需要任何消耗，不過使用一次之後需要等待15分鐘才能使用下一次。如果在副本任務中使用，則會回到副本的開始地點。,0,0,4,45,2
