#,Text,GroupTitle,LookupTable,Group,Key
100,【語言】,yuyan.,@,1,0
101,請使用指定文字翻譯系統。,qingshiyongdingxingwenfanyixitong,,1,1
102,日語,riyu,,1,10
103,英語,yingyu,,1,11
104,法語,fayu,,1,12
105,德語,deyu,,1,13
106,你會說日語嗎？,nihuishuoriyuma?,,1,31
107,你會說英語嗎？,nihuishuoyingyuma?,,1,32
108,你會說法語嗎？,nihuishuofayuma?,,1,33
109,你會說德語嗎？,nihuishuodeyuma?,,1,34
110,我不會說英語。,wobuhuishuoyingyu,,1,41
111,我不會說日語。,wobuhuishuoriyu,,1,40
112,我不會說法語。,wobuhuishuofayu,,1,42
113,我不會說德語。,wobuhuishuodeyu,,1,43
114,請聽著。,qingtingzhe,,1,20
115,能聽見嗎？,nengtingjianma?,,1,21
116,我會說一點。,wohuishuoyidian,,1,22
117,我能看懂一點。,wonengkandongyidian,,1,23
118,請用簡單的詞彙。,qingyongjiandandecihui,,1,24
119,請不要使用省略語。,qingbuyaoshiyongshenglveyu,,1,25
120,請稍等，我需要些時間來回覆。,"qingshaodeng,woxuyaoxieshijianlaihuifu",,1,26
121,你的母語是什麼？,nidemuyushishenme?,,1,30
200,【問候語】,wenhouyu.,@,2,0
201,很高興見到你。,hengaoxingjiandaoni,,2,1
202,早安！,zaoshanghao,,2,2
203,你好！,nihao,,2,3
204,午安！,wanshanghao,,2,4
205,晚安！,wanan,,2,5
206,再會。,zaihui,,2,6
207,今天很高興。,jintianhengaoxing,,2,7
208,再見！,huitoujian,,2,8
209,有時間再一起玩！,youshijianzaiyiqiwan,,2,9
210,我回來了！,wohuilaile,,2,10
211,歡迎回來。,huanyinghuilai,,2,11
212,恭喜！,gongxi,,2,12
213,幹得好！,gandehao,,2,13
214,加油！,jiayou,,2,14
215,太好了！,taihaole,,2,15
216,謝謝你。,xiexieni,,2,16
217,不客氣。,bukeqi,,2,17
218,多保重。,duobaozhong,,2,18
219,對不起。,duibuqi,,2,19
220,請原諒我。,qingyuanliangwo,,2,20
221,很遺憾。,henyihan,,2,21
222,打擾一下……,daraoyixia,,2,22
223,祝你旅途愉快。,zhunilvtuyukuai,,2,23
224,我是第一次來這裡。,woshidiyicilaizheli,,2,24
225,我很期待！,wohenqidai,,2,25
226,打得好！辛苦了！,dadehaoxinkule,,2,26
227,請多關照！,qingduoguanzhao,,2,27
228,我得走了，非常感謝各位。,wodeizoulefeichangganxiegewei,,2,28
229,我們玩得輕鬆點吧！,womenwandeqingsongdianba,,2,29
230,我會盡力的！,wohuijinlide,,2,31
231,一起加油吧！,yiqijiayouba,,2,30
232,好好期待吧！,haohaoqidaiba,,2,32
233,冷靜一點吧！,lengjingyidianba,,2,33
300,【提問】,tiwen.,@,3,0
301,誰？,shui?,,3,1
302,哪個？,nage?,,3,2
303,怎樣？,zenyang?,,3,3
304,什麼？,shenme?,,3,4
305,什麼時候？,shenmeshihou?,,3,5
306,多少？,duoshao?,,3,6
307,在哪？,zaina?,,3,7
308,為什麼？,weishenme?,,3,8
309,怎麼了？,zenmele?,,3,9
310,我們要去哪？,womenyaoquna?,,3,10
311,你可以嗎？,nikeyima?,,3,11
312,需要幫忙嗎？,xuyaobangmangma?,,3,12
313,我們做什麼任務？,womenzuoshenmerenwu?,,3,13
314,你能做什麼任務？,ninengzuoshenmerenwu?,,3,14
315,你有嗎？,niyouma?,,3,15
316,現在你在使用什麼武器？,xianzainizaishiyongshenmewuqi?,,3,16
317,你還能使用其他什麼職業？,nihainengshiyongqitashenmezhiye?,,3,17
318,你還能擔任其他什麼職能？,nihainengdanrenqitashenmezhineng?,,3,18
319,你設置好了嗎？,nishezhihaolema?,,3,19
320,用什麼戰術？,yongshenmezhanshu?,,3,20
321,我能加你為好友嗎？,wonengjianiweihaoyouma?,,3,21
322,能休息下嗎？,nengxiuxixiama?,,3,22
323,稍微修理一下吧？,shaoweixiuliyixiaba?,,3,23
324,能幫我修理一下嗎？,nengbangwoxiuliyixiama?,,3,24
325,需要我幫你鑲嵌魔晶石嗎？,xuyaowobangnixiangqianmojingshima?,,3,25
326,能幫我鑲嵌下魔晶石嗎？,nengbangwoxiangqianxiamojingshima?,,3,26
327,你要加入我的小隊嗎？,niyaojiaruwodexiaoduima?,,3,27
328,能把我加入你的小隊嗎？,nengbawojiarunidexiaoduima?,,3,28
329,我們把小隊解散了怎麼樣？,womenbaxiaoduijiesanlezenmeyang?,,3,29
330,來加入我們的通訊貝嗎？,laijiaruwomendetongxunbeima?,,3,30
331,能讓我加入通訊貝嗎？,nengrangwojiarutongxunbeima?,,3,31
332,來加入我們的公會嗎？,laijiaruwomendebuduima?,,3,32
333,能讓我加入公會嗎？,nengrangwojiarubuduima?,,3,33
334,你在幹什麼？,nizaiganshenme?,,3,34
335,來進行卡片對局嗎？,laijinxingkapianduijuma?,,3,35
336,我們改變一下規則好嗎？,womengaibianyixiaguizehaoma?,,3,36
337,來進行大賽對局嗎？,laijinxingdasaiduijuma?,,3,37
338,MP夠用嗎？,moligouyongma?,,3,38
339,有什麼不明白的地方嗎？,youshenmebumingbaidedifangma?,,3,39
340,看到了嗎？,kandaolema?,,3,40
341,知道怎麼打嗎？,zhidaozenmedama?,,3,41
342,能說說打法嗎？,nengshuoshuodafama?,,3,42
343,要來共同騎乘嗎？,yaolaigongtongqichengma?,,3,43
344,能讓我共同騎乘嗎？,nengrangwogongtongqichengma?,,3,44
400,【回答】,huida.,@,4,0
401,我不知道。,wobuzhidao,,4,1
402,不，謝了。,buxiele,,4,2
403,好的，拜託了。,haodebaituole,,4,3
404,拜託您了。,baituoninle,,4,4
405,明白。,mingbai,,4,5
406,抱歉，我現在很忙。,baoqianwoxianzaihenmang,,4,6
407,我現在想獨自一人活動。,woxianzaixiangduziyirenhuodong,,4,7
408,我不知道該怎麼回答這個問題。,wobuzhidaogaizenmehuidazhegewenti,,4,8
409,原來如此。,yuanlairuci,,4,9
410,謝謝你的提案，不過還是算了。,xiexienidetianbuguohaishisuanle,,4,10
411,聽起來有意思。,tingqilaiyouyisi,,4,11
412,嗯……,en,,4,12
413,啊？！,a?!,,4,13
414,真的？,zhende?,,4,14
415,唔。,wu,,4,15
416,一會還有別的事。,yihuihaiyoubiedeshi,,4,16
417,再來一局。,zailaiyiju,,4,17
418,結束對局吧。,jieshuduijuba,,4,18
419,我想暫停一會兒。,woxiangzantingyihuier,,4,19
420,有可能。,youkeneng,,4,20
500,【理由】,liyou.,@,5,0
501,正在詠唱。,zhengzaiyongchang,,5,1
502,該工作了。,gaigongzuole,,5,2
503,我約了人。,woyueleren,,5,3
504,我睏了。,wokunle,,5,4
505,我累了。,woleile,,5,5
506,有事要辦，先走一步！,youshiyaobanxianzouyibu,,5,6
507,身體有點不舒服。,shentiyoudianbushufu,,5,7
508,我不是很有興趣。,wobushihenyouxingqu,,5,8
509,我有興趣。,woyouxingqu,,5,9
510,我現在正在任務裡。,woxianzaizhengzairenwuli,,5,10
511,正在戰鬥中！,zhengzaizhandouzhong,,5,11
512,我想賺錢。,woxiangzhengqian,,5,12
513,我不記得了。,wobujidele,,5,13
514,我不知道。,wobuzhidao,,5,14
515,剛用掉了……,gangyongdiaole,,5,15
516,我想賺經驗值。,woxiangzhengjingyanzhi,,5,16
517,我錯了。,wocuole,,5,17
518,已經有人邀請我了。,yijingyourenyaoqingwole,,5,18
519,我已經有一個了。,woyijingyouyigele,,5,19
520,招募已經結束了。,zhaomuyijingjieshule,,5,20
521,我正在做準備。,wozhengzaizuozhunbei,,5,21
522,現在無法脫身。,xianzaiwufatuoshen,,5,22
523,我在和人聊天。,wozaiherenliaotian,,5,23
524,我沒有在用鍵盤。,womeiyouzaiyongjianpan,,5,24
525,我正在查資料。,wozhengzaichaziliao,,5,25
600,【交易】,jiaoyi.,@,6,0
601,能賣給我嗎？,nengmaigeiwoma?,,6,1
602,能幫我個忙嗎？,nengbangwogemangma?,,6,2
603,能便宜些嗎？,nengpianyixiema?,,6,3
604,要購買嗎？,yaogoumaima?,,6,4
