#,Message,Unknown1,Unknown2
0,,4,True
1,"魔導裝甲的殘骸。
這裡難道經歷了激烈的戰鬥？",7,False
2,"久經使用的劍和盾。
看起來不像是加雷馬帝國軍的裝備。
它們的主人究竟是誰？",7,False
3,"好像是希德年輕時記錄的衛月觀測資料。
上面書寫著整整齊齊的文字和複雜的公式。

根據希德推測，
衛月擁有收集太陽能後進行轉換、輸送的機能。

如果在未做好接收準備的情況下啟動衛月，
累積了數千年的龐大能量將會從天而降，
造成重大的事故。",4,True
4,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……",7,False
5,"脚部不良の魔導リーパーだ。
先程の戦闘で消耗し、もう使用できないようだ……。",7,False
6,"すでに事切れている。
自分自身の身体でなら、救えたかもしれない……。

キャンプ・ブロークングラスに急ぎ、ゼノスの凶行を阻止しよう。",7,False
7,"看樣子是遭到了被控制的帝國兵襲擊，已經斷氣了。
從懷中搜到了軍用治療劑。",7,False
8,"看樣子是曾經拼命抵抗過，但已經斷氣了。
從懷中搜到了軍用治療劑。",7,False
9,"腿部受損的魔導死神。
機器還留有餘溫，不久之前應該還被人駕駛過。
如果有認證金鑰和燃料應該可以啟動。
使用這台機器的魔導加農砲，
也許能清理正面的敵人……",7,False
10,"腿部受損的魔導死神。
使用了認證金鑰，但因為缺少燃料無法啟動。
尋找魔導死神的殘骸，搜索燃料。",7,False
11,"魔導死神的殘骸。
駕駛席的量表顯示還殘留著燃料。
看樣子可以拆下青磷水箱。",7,False
12,"腿部受損的魔導死神。
在剛才的戰鬥中徹底損毀，失去了戰鬥能力。",7,False
13,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……",7,False
14,"魔導死神的殘骸。
駕駛席的量表顯示還殘留著燃料，
但受損十分嚴重，已經無法再次使用了……",7,False
15,"已經斷氣了。
如果是自己的身體，是否能拯救他呢……",7,False
16,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……",7,False
17,"疑似是新兵的帝國兵已經斷氣了。
從懷中搜到了軍用治療劑。",7,False
18,"魅了された帝国兵が「軍用ポーション」を持っていた！


このクエストバトルでは、通常時の戦闘能力を発揮できません。
そのため、なるべく戦闘を回避しながら、
キャンプ・ブロークングラスに向かうことを推奨します。
一度、発見されて戦闘状態に陥ると、
魅了された帝国兵や魔導兵器は、執拗に追跡してきます。
特に魔導兵器は手強いため、生身で戦うのは危険です。
ＨＰは、コンテンツアクション「軍用ポーション」で回復できます。
使用回数に制限がありますが、敵兵や残骸などから、
追加獲得できるため、積極的に探してみましょう。",7,False
19,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了帝國式強壯劑！",7,False
20,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用治療劑！",7,False
21,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用治療劑！",7,False
22,"魔導死神的殘骸。
受損十分嚴重，已經無法再次使用了……
從駕駛席搜到了軍用治療劑！",7,False
23,已經斷氣了。,7,False
24,"看樣子是從背後遭到了襲擊，已經斷氣了。
從懷中搜到了軍用治療劑！",7,False
25,已經斷氣了。,7,False
26,"破爛的小麻袋。
從裡面發現了軍用治療劑！",7,False
27,"破爛的小麻袋。
從裡面發現了帝國式恢復劑！",7,False
28,"腿部受損的魔導死神。
補充了燃料，但因為缺少認證金鑰無法啟動。
搜索一下看看原本的駕駛員有沒有躲在附近。",7,False
29,"水面泛起了波紋，開始產生細小的氣泡……
想像了一下葉小妖的幼獸在葉片的後面紮堆的情景。",7,False
30,"在葉片的表面有被踐踏的痕跡。
是誰在打水時留下的嗎？",7,False
31,"在水底發現了被植物寄生的動物屍骸。
是在尋找食物的時候迷路了嗎？",7,False
32,"發現了有輕微燒焦痕跡的水草。
很像是賢者的攻擊術式留下的……",7,False
33,"
刻有通用語構成的文章……

「創世之初，勇猛火神，賜予勇敢的我等烈焰。
聖火傳承，繼承自先祖的烈焰，回答其名！」
",7,False
34,"地上有一張充滿塗鴉的紙片。
也許是偷盜者的筆記。

翠綠的稀有礦石，
孔雀石之間，綠色與黃色的布袋。
瓦礫上，牆角邊。",7,False
35,"魔物的屍體。
上面留有被利爪撕裂的傷痕……",7,False
36,"四處散落著亂糟糟的羽毛。
是在這附近大鬧了一番嗎？",7,False
37,"地上有動物的糞便。
似乎才剛排泄了沒多久……",7,False
38,"終端的畫面上顯示著的大量人名，
看起來是「記憶被存放到了雲端之上的人」的名單。

不知道納米卡的名字在不在裡面……",7,False
39,"處理靈魂資源時須遵守操作說明中規定的步驟。
我們保管的是新生亞歷山德里亞聯合王國最重要的資源。
任何的損壞、流失都將被嚴厲問責。
第一步驟：靈魂的抽取
抽取存儲在調魂器內混合著「靈魂」與「記憶」的乙太，
注入裝置中使其穩定。
抽取時如果操之過急，混合乙太的損壞率會相應提高。
因此，除緊急情況外禁止變更抽取速度。",4,True
40,"特殊監視物件靈魂，
ID161127，個體名稱「納米卡」。
生命活動終止時的肉體年齡86歲……
居民記憶的消除操作——已完成。
遺留肉體的處理——已完成。
混合乙太的抽取——已完成。",4,True
41,"第二步驟：記憶與靈魂的分離
利用分離器將混合乙太分離成靈魂與記憶，
並分別送至第三步驟。
靈魂需要最終加工，須送至上層。
記憶則利用秘密途徑送往中央終端。

此外，魔物的記憶無需保存。
除特殊用途外，全部廢棄。",4,True
42,"第三步驟：漂白
對分離後仍附著在靈魂上的記憶殘渣進行完全漂白。
漂白光對生命體有害，操作時需要注意。
另外，如不進行漂白處理，
被注入該靈魂之人可能會產生記憶錯亂乃至人格崩潰。
操作人員須使用高精度檢測裝置確認是否有殘渣存留。
經過上述步驟，靈魂資源將重新被社會所用。
各位都是在為國家的運轉而出力，
務必以認真的態度執行工作。",4,True
43,"實驗記錄216——個體名稱「安波羅修」。
本實驗旨在將試驗型調魂器裝配在沒有靈魂的肉體上，
其後將多種魔物以及人類的靈魂資源同時注入。
現在，實驗體雖能像活人一樣行動，
但人格已出現缺陷，伴隨著強烈的破壞衝動。
推測魔物的靈魂佔據了主導地位。
該個體雖擁有強大的戰鬥力，
但十分難以控制，作為兵器的可信賴程度過低。
今後的實驗將圍繞如何固定「忠誠的人格」展開。",4,True
44,,0,False
45,,0,False
46,,0,False
47,,0,False
48,,0,False
49,,0,False
50,,0,False
51,,0,False
52,,0,False
53,,0,False
54,,0,False
