#,Text,LogKind,DisplayFlags,Unknown1,Duration,Unknown2
0,,0,0,0,0,False
1,向发送了入队邀请。,57,1,0,0,False
2,发来的入队邀请被取消了。,57,1,0,0,False
3,收到了发来的入队邀请。,57,33,0,0,False
4,退出了小队。,57,1,0,0,False
5,小队解散了。 ,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8,将加入到黑名单中。,57,1,0,0,False
9,将从黑名单中移除。,57,1,0,0,False
10,向发送了好友邀请。,57,33,0,0,False
11,收到了发来的好友邀请。,57,33,0,0,False
12,将从好友名单中移除。,57,1,0,0,False
13,向发送了加入通讯贝“”的邀请。,57,1,0,0,False
14,收到了发来的加入通讯贝“”的邀请。,57,33,0,0,False
15,将任命为“”的队长。,57,1,0,0,False
16,解除了作为“”队长的任命。,57,1,0,0,False
17,退出了通讯贝“”。,57,1,0,0,False
18,通讯贝“”解散了。,57,33,0,0,False
19,被移除出了通讯贝“”。,57,1,0,0,False
20,被移除出了通讯贝“”。,57,1,0,0,False
21,通讯贝“”的管理员权限转交给了。,57,1,0,0,False
22,通讯贝“”的管理员权限转交给了。,57,33,0,0,False
23,接受了通讯贝“”的队长任命。,57,33,0,0,False
24,解除了通讯贝“”的队长任命。,57,1,0,0,False
25,邮件已发送。,57,33,0,0,False
26,邮件已删除。,57,1,0,0,False
27,从邮件中获得了×UNKNOWN。,57,1,0,0,False
28,从邮件中获得了0金币。,57,1,0,0,False
29,由于未领取好友发来的道具，现已无法收到更多来自好友的道具邮件。,60,9,0,0,False
30,现在无法进行交易。,60,8,0,0,False
31,该道具无法交易给其他玩家。,60,8,0,0,False
32,向发送了交易申请。,57,1,0,0,False
33,等待确认交易内容。,57,1,0,0,False
34,收到了发来的交易申请。,57,1,0,0,False
35,交易开始。,57,1,0,0,False
36,交易取消。,57,1,0,0,False
37,交易内容变更。,57,1,0,0,False
38,交易完成。,57,33,0,0,False
39,无法进行交易，背包已满。,60,8,0,0,False
40,无法进行交易，对方背包已满。,60,8,0,0,False
41,有损耗的道具无法进行交易。,60,8,0,0,False
42,无法进行交易，珍稀道具只能持有一个。,60,8,0,0,False
43,无法进行交易，对方已经持有珍稀道具。,60,8,0,0,False
44,离开交易对象会中断交易。,57,8,0,0,False
45,已达到可输入文字上限。,60,8,0,0,False
46,无法交易，所持金币已达上限。,60,8,0,0,False
47,无法进行交易，对方所持金币已达上限。,60,8,0,0,False
48,无法向“忙碌中”状态的玩家申请交易。,60,8,0,0,False
49,无法向UNKNOWN发送悄悄话，对方现在处于“忙碌中”状态。,60,1,0,0,False
50,向UNKNOWN发送悄悄话失败。,60,1,0,0,False
51,没有找到目标玩家。,60,8,0,0,False
52,开始跟随。,57,33,0,0,False
53,取消跟随。,57,33,0,0,False
54,无法完成交易。,60,8,0,0,False
55,无法向黑名单中的玩家发送悄悄话。,60,8,0,0,False
56,无法向黑名单中的玩家申请交易。,60,8,0,0,False
57,无法向黑名单中的玩家发送组队邀请。,60,8,0,0,False
58,无法向黑名单中的玩家发送通讯贝邀请。,60,8,0,0,False
59,背包中还剩下UNKNOWN格空位。,60,8,0,0,False
60,加入了小队。,57,33,1,0,False
61,加入了的小队。,57,33,1,0,False
62,拒绝了入队邀请。,57,1,0,0,False
63,拒绝了发来的入队邀请。,57,1,0,0,False
64,将队长权限转让给了。,57,1,1,0,False
65,接受了转让来的队长权限。,57,33,1,0,False
66,成为了新的队长。,57,33,1,0,False
67,被移出了小队。,57,1,1,0,False
68,离开了的小队。,57,1,1,0,False
69,离开了小队。,57,33,1,0,False
70,离开了自己的小队。,57,33,1,0,False
71,离开了小队，成为了新的队长。,57,33,1,0,False
72,解散了小队。,57,33,1,0,False
73,小队解散了。,57,33,1,0,False
74,正式加入了通讯贝“”。,57,33,0,0,False
75,正式加入了通讯贝“”。,57,33,1,0,False
76,拒绝了正式加入通讯贝“”。,57,1,0,0,False
77,退出了通讯贝“”。,57,33,1,0,False
78,将加入了好友名单。,57,33,1,0,False
79,拒绝了发来的好友申请。,57,1,0,0,False
80,个人信息已更新。,57,32,0,0,False
81,搜索结果已更新。,57,32,0,0,False
82,取消了发给的好友申请。,57,1,0,0,False
83,取消了发来的好友申请。,57,1,1,0,False
84,切换为离线状态。,57,33,1,0,False
85,回到了队伍里。,57,33,1,0,False
86,无法向黑名单中的玩家发送魔晶石镶嵌委托。,60,8,0,0,False
87,只有能工巧匠职业才能够接受魔晶石镶嵌委托。,60,8,0,0,False
88,拓展开了未知的土地！,57,33,1,0,False
