#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,開始遊戲,,,0,0,0
2,功能設定,,,0,0,0
3,開場動畫,,,0,0,0
4,製作人員,,,0,0,0
5,,,,0,0,0
6,"要進行控制器的按鍵設定嗎？
※進入遊戲後可以在系統設定中隨時進行修改。",,,0,0,0
7,是,,,0,0,0
8,否,,,0,0,0
9,,,,0,0,0
10,遊戲帳號,,,0,0,0
11,請選擇遊戲帳號。,,,0,0,0
12,遊戲版本 : UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**注意** : 現在處於低解析度狀態(480p/i 576p/i)。
本遊戲推薦使用高解析度(720p)進行遊戲。",,,0,0,0
14,,,,0,0,0
15,確認,,,0,0,0
16,取消,,,0,0,0
17,"請在右側的列表中選擇想要編輯的項目。
???表示該項目仍未最後確定。",,,0,0,0
18,"請在右側的列表中選擇想要編輯的項目。
編輯之後點擊最下面的確認按鈕可以查看更改後的形象。",,,0,0,0
19,"請在右側的列表中選擇想要編輯的項目。
???表示該項目仍未最後確定。
確定外貌之後將結束形象編輯。",,,0,0,0
20,刪除角色,,,0,0,0
21,"要刪除UNKNOWN嗎？
刪除角色後，該角色所有相關的道具、Gil、郵件等，僱傭的僱員也將被刪除。
如果該角色是公會長，且公會中沒有符合繼任公會長條件的成員，則該公會將被解散。
屆時公會所擁有的房屋、公會儲物櫃中的道具等財產也將被刪除，請多加注意。",,,0,0,0
22,是的，我已經了解注意事項，決定刪除該角色。,,,0,0,0
23,修改姓名,,,0,0,0
24,修改僱員姓名,,,0,0,0
25,要以UNKNOWN登入嗎？,,,0,0,0
26,以該角色登入遊戲需要修改姓名。請輸入新的名字。,,,0,0,0
27,請在取得角色情報後修改姓名。,,,0,0,0
28,要將姓名改為「UNKNOWN」嗎？,,,0,0,0
29,要將僱員的姓名改為「UNKNOWN」嗎？,,,0,0,0
30,創建新角色,,,0,0,0
31,"要結束角色創建嗎？
目前正在處理的角色資訊都會消失。",,,0,0,0
32,以目前角色開始遊戲嗎？,,,0,0,0
33,要創建新角色嗎？,,,0,0,0
34,無法創建更多角色。按右鍵角色選擇刪除之後可以創建新角色。,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,所在地,,,0,0,0
37,星1月 UNKNOWN日,,,0,0,0
38,（UNKNOWN月UNKNOWN日）,,,0,0,0
39,,,,0,0,0
40,星1月,,,0,0,0
41,靈1月,,,0,0,0
42,星2月,,,0,0,0
43,靈2月,,,0,0,0
44,星3月,,,0,0,0
45,靈3月,,,0,0,0
46,星4月,,,0,0,0
47,靈4月,,,0,0,0
48,星5月,,,0,0,0
49,靈5月,,,0,0,0
50,星6月,,,0,0,0
51,靈6月,,,0,0,0
52,,,,0,0,0
53,星1月 UNKNOWN日,,,0,0,0
54,,,,0,0,0
55,,,,0,0,0
56,UNKNOWN,,,0,0,0
57,正在讀取伺服器列表。,,,0,0,0
58,無法讀取伺服器列表。,,,0,0,0
59,將各個伺服器的情況更新到最新狀態。更新後需要等待UNKNOWN分鐘才能再次更新。,,,0,0,0
