#,Name,ClassJobCategory[0],ClassJobCategory[1],MissionTime,MissionReward,SilverStarRequirement,GoldStarRequirement,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSMissionText,WKSFunction,LevelGroup,Unknown0,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1, 製作通用型纖維板,9,0,0,1,1200,2400,143,0,0,0,50,2,0,0,17,0,1,0,0,1,False
2, 籌備據點外工作所需的燃料,9,0,0,2,1200,2400,144,0,0,0,51,3,0,0,20,0,1,0,0,1,False
3, 製作採集所需的飾品,9,0,0,3,1200,2400,145,0,0,0,52,4,0,0,22,0,1,0,0,1,False
4, 籌備研究所需的材料,9,0,0,4,1200,2400,146,0,0,0,53,5,0,0,29,0,1,0,0,1,False
5, 檢驗木炭供應的可持續性,9,0,0,5,1200,2400,147,0,0,0,54,6,0,0,20,0,1,0,0,1,False
6, 製作通用型床具,9,0,0,6,1200,2400,148,0,0,0,55,7,0,0,19,0,1,0,0,1,False
7, 製作薄型纖維板,9,0,0,7,1200,2400,149,0,0,0,56,8,0,0,17,0,2,0,0,1,False
8, 製作木工師所需的支援物資,9,0,0,8,1200,2400,150,0,0,0,57,9,0,0,20,0,2,0,0,1,False
9, 籌備工作人員所需的裁縫工具,9,0,0,9,1300,3000,151,0,0,0,58,10,0,0,26,3,2,0,0,1,False
10, 製作填寫資料所需的紙張,9,0,0,10,700,1500,152,0,0,0,59,11,0,0,18,3,2,0,0,1,False
11, 製作隔熱的內飾材料,9,0,0,11,1100,2500,153,0,0,0,60,12,0,0,19,3,2,0,0,1,False
12, 籌備宇宙快線所需的基礎物資,9,0,0,12,1200,2250,154,0,0,0,61,13,0,0,28,3,2,0,0,1,False
13, 製作使用了新材料的耳飾,9,0,0,13,700,1500,155,0,0,0,62,14,0,0,22,3,2,0,0,1,False
14, 製作運送補給所需的容器,9,0,0,14,1600,2400,156,0,0,0,63,15,0,0,20,0,3,0,0,1,False
15, 製作厚型纖維板,9,0,0,15,1600,2400,157,0,0,0,64,16,0,0,17,0,3,0,0,1,False
16, 製作優質隔熱材料,9,0,0,16,1700,2000,158,0,0,0,65,17,0,0,19,3,3,0,0,1,False
17, 製作耐熱樹脂,9,0,0,17,2700,3000,159,0,0,0,66,18,0,0,31,3,3,0,0,1,False
18, 製作能夠長期保存的紙張,9,0,0,18,1600,2400,160,0,0,0,67,19,0,0,18,0,3,0,0,1,False
19, 製作居住區所需的椅子,9,0,0,19,2700,3000,161,0,0,0,68,20,0,0,30,3,3,0,0,1,False
20, 製作使用了試驗性材料的採集工具,9,0,0,20,1000,1300,162,0,0,0,69,21,0,0,22,0,3,0,0,1,False
21, 製作休息所需的優質床具,9,0,0,21,1000,1300,163,0,0,0,70,22,0,0,24,0,3,0,0,1,False
22,製作高耐久型纖維板,9,0,1200,22,1800,2400,164,0,0,0,71,23,0,1200,17,0,4,0,0,0,False
23,製作頂級紙張,9,0,1200,23,2300,3000,165,0,0,0,72,24,0,1200,18,3,4,0,0,0,False
24,籌備宇宙飛船所需的隔熱材料,9,0,0,24,700,1000,166,0,0,0,73,25,0,1200,19,3,4,0,0,0,False
25,製作火力強勁的木炭,9,0,1200,25,700,1000,167,0,0,0,74,26,0,1200,20,3,4,0,0,0,False
26,檢驗月面植物的加工方法,9,0,1200,26,2600,3000,168,0,0,0,75,27,0,1200,21,3,4,0,0,0,False
27,【高難】進行試驗所需材料的最終檢驗,9,0,1200,27,2500,3000,169,0,0,0,76,28,0,1100,22,3,5,0,0,0,False
28,【高難】製作分發食物所需的托盤,9,0,1200,28,840,1000,170,0,0,0,77,29,0,1100,23,3,5,0,0,0,False
29,【高難】製作雙層床,9,0,1200,29,840,1000,171,0,0,0,78,30,0,1100,24,3,5,2,0,0,False
30,【高難】製作工作輔助設備,9,0,1200,30,2800,3000,172,0,0,0,79,31,0,1100,25,3,5,1,13,0,False
31,【高難+】補充優質製作工具,9,0,420,31,560,880,173,0,0,0,80,32,0,1000,26,0,6,0,14,0,False
32,【高難+】製作高空作業所需的腳手架,9,0,330,32,560,880,174,0,0,0,81,33,0,1000,27,0,6,0,13,0,False
33,製作傳動用的長桿,9,0,1200,33,2300,3000,175,0,0,0,82,34,0,1200,28,3,4,0,0,0,False
34,【高難】續·製作傳動用的長桿,9,0,1200,34,2500,3000,176,0,0,33,83,35,0,1100,28,3,5,0,0,0,False
35,籌備具有特殊性質的材料,9,0,1200,35,1000,1600,177,0,0,0,84,36,0,1200,29,0,4,0,0,0,False
36,【高難】續·籌備具有特殊性質的材料,9,0,1200,36,1000,1600,178,0,0,35,85,37,0,1100,29,0,5,0,0,0,False
37,【高難+】製作研究所需的大型水槽,9,0,300,37,1000,1600,179,0,0,36,86,38,0,1000,29,0,6,0,0,0,False
38,【高難】製作休息設施所需的材料,9,0,1200,38,850,1000,180,0,0,0,87,39,0,1100,30,3,5,0,0,0,False
39,【高難+】製作休息設施所需的家具,9,0,240,39,900,1000,181,0,0,38,88,40,0,1000,30,3,6,2,0,0,False
40,製作貨物包裝材料,9,0,1200,40,2300,3000,182,0,0,0,89,41,0,1200,31,3,4,0,1,0,False
41,【高難】續·製作貨物包裝材料,9,0,1200,41,2500,3000,183,0,0,40,90,42,0,1100,31,3,5,1,0,0,False
42,【高難+】製作月球車所需的貨物包裝材料,9,0,270,42,2700,3000,184,0,0,41,91,43,0,1000,31,3,6,2,0,0,False
43,【高難+】製作生物燃料,9,0,600,43,980,1080,185,0,0,0,92,44,0,1000,32,3,6,1,7,0,False
44,【高難+】續·製作生物燃料,9,0,600,44,980,1080,186,0,0,43,93,45,0,1000,32,3,6,1,0,0,False
45,【高難+】最終步驟·製作生物燃料,9,0,420,45,1000,1080,187,0,0,44,94,46,0,1000,32,0,6,1,0,0,False
46, 製作通用型裝甲板,10,0,0,46,1200,2400,188,0,0,0,95,47,0,0,1,0,1,0,0,1,False
47, 製作宇宙飛船所需的備用零件,10,0,0,47,1200,2400,189,0,0,0,96,48,0,0,14,0,1,0,0,1,False
48, 檢驗合金的製作方法,10,0,0,48,1200,2400,190,0,0,0,97,49,0,0,2,0,1,0,0,1,False
49, 製作初級訂製零件,10,0,0,49,1200,2400,191,0,0,0,98,50,0,0,15,0,1,0,0,1,False
50, 製作通用型金屬零件,10,0,0,50,1200,2400,192,0,0,0,99,51,0,0,3,0,1,0,0,1,False
51, 生產大量必需品,10,0,0,51,1200,2400,193,0,0,0,100,52,0,0,3,0,1,0,0,1,False
52, 製作標準化厚型裝甲板,10,0,0,52,1200,2400,194,0,0,0,101,53,0,0,1,0,2,0,0,1,False
53, 製作宇宙飛船所需的傳動軸,10,0,0,53,1200,2400,195,0,0,0,102,54,0,0,14,0,2,0,0,1,False
54, 籌備工作人員使用的碎石工具,10,0,0,54,1300,3000,196,0,0,0,103,55,0,0,4,3,2,0,0,1,False
55, 製作標準化合金鉚釘,10,0,0,55,700,1500,197,0,0,0,104,56,0,0,3,3,2,0,0,1,False
56, 籌備工作人員使用的木工工具,10,0,0,56,1100,2500,198,0,0,0,105,57,0,0,4,3,2,0,0,1,False
57, 製作中級訂製零件,10,0,0,57,1200,2250,199,0,0,0,106,58,0,0,15,3,2,0,0,1,False
58, 製作隔熱設備,10,0,0,58,700,1500,200,0,0,0,107,59,0,0,9,3,2,0,0,1,False
59, 製作月球車所需的傳動軸,10,0,0,59,1600,2400,201,0,0,0,108,60,0,0,3,0,3,0,0,1,False
60, 製作標準化薄型裝甲板,10,0,0,60,1600,2400,202,0,0,0,109,61,0,0,1,0,3,0,0,1,False
61, 籌備工作人員使用的冶煉工具,10,0,0,61,1700,2000,203,0,0,0,110,62,0,0,4,3,3,0,0,1,False
