#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
1,"/任務回顧
/replay、/record
打開任務回顧視窗。",/任務回顧,/replay,/record,,0,32,1,0,0,0,0
2,"/記錄準備確認 指令
/replayready、/recordready
發起記錄準備確認。
>>指令
**秒數(5-30)**
發起記錄準備確認，全員確認後開啟戰鬥開始倒數。記錄準備確認完畢後再次使用時功能將變為普通的準備確認加戰鬥開始倒數。
**無指令**
打開記錄準備確認視窗。",/記錄準備確認,/replayready,/recordready,,0,0,2,1,0,0,0
3,"/戰隊命令
/pvpteamcmd
打開戰隊視窗。",/戰隊命令,,/pvpteamcmd,,0,0,1,0,0,0,0
4,"/陸行鳥鞍囊
/chocobobag、/saddlebag
打開陸行鳥鞍囊。",/陸行鳥鞍囊,/chocobobag,/saddlebag,,0,0,1,0,0,0,0
5,"/魔素板順時旋轉
/magiaright
順時針轉動魔素板。",/魔素板順時旋轉,/magiaright,/magiaright,,0,0,1,0,0,0,0
6,"/魔素板逆時旋轉
/magialeft
逆時針轉動魔素板。",/魔素板逆時旋轉,/magialeft,/magialeft,,0,0,1,0,0,0,0
7,"/跨界貝命令(/跨界貝)
/cwlinkshellcmd、/cwlcmd
打開跨界通訊貝視窗。",/跨界貝命令,/跨界貝,/cwlinkshellcmd,/cwlcmd,0,0,1,0,0,0,0
8,"/快捷發言 快捷發言名 代名詞
/quickchat、/qchat
進行快捷發言。
※只能在水晶衝突中使用。
>>示例
/快捷發言 號令：進攻
發送快捷發言「號令：進攻」。
/快捷發言 攻擊：目標 <目標>
發送快捷發言「攻擊：目標」加上目前所選目標的名字。",/快捷發言,/qchat,/quickchat,/qchat,0,1021,3,1,17,0,0
9,"/青魔法書 指令
/bluespellbook
對青魔法進行有效技能設置。
>>指令
**設置 青魔法名 開**
將指定青魔法設為有效技能。
**設置 青魔法名 關**
將指定青魔法從有效技能中解除。
**預設 有效技能組序號(1-5)**
換上指定序號的有效技能組。
**撤除**
將目前設置的有效技能全解除。
**無指令**
開啟或關閉青魔法書。

>>示例
/青魔法書 設置 水槍
將青魔法水槍設為有效技能或從有效技能中解除。
/青魔法書 預設 2
將有效技能變為預設好的有效技能組2。",/青魔法書,/bluespellbook,/bluespellbook,,0,36,4,3,2,18,2
10,"/魔素板攻勢 代名詞
/magiaattack
將魔素板的屬性切換為攻擊時克制目前目標的屬性。代名詞可省略。

>>示例
/魔素板攻勢 <目標>
將魔素板的屬性切換為攻擊時克制目前目標的屬性。",/魔素板攻勢,,/magiaattack,,0,0,2,1,2,0,0
11,"/魔素板守勢 代名詞
/magiadefense
將魔素板的屬性切換為與目前目標相同的屬性利於防禦。代名詞可省略。

>>示例
/魔素板守勢 <目標>
將魔素板的屬性切換為與目前目標相同的屬性。",/魔素板守勢,,/magiadefense,,0,0,2,1,2,0,0
