#,Message,ChoicesText[0],ChoicesText[1],ChoicesText[2],ChoicesText[3],ChoicesText[4],ChoicesText[5],ChoicesText[6],ChoicesText[7],ChoicesText[8],ChoicesText[9],NextTalk,ActionTimeline,ChoicesTalk[0],ChoicesTalk[1],ChoicesTalk[2],ChoicesTalk[3],ChoicesTalk[4],ChoicesTalk[5],ChoicesTalk[6],ChoicesTalk[7],ChoicesTalk[8],ChoicesTalk[9],Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
6,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
7,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
9,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
10,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
11,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
12,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
13,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
14,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
15,必要MGP：0MGP,やる,やる(無料券),キャンセル,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False,False
16,"参加仙人微彩有奖竞猜需要UNKNOWN金碟币。
确定要参加吗？
[所持金碟币：0]",是,否,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
17,"哎呀，您的金碟币好像不够呢……
先去金碟币兑换员那换些金碟币如何？",,,,,,,,,,,44,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
18,"哎呀，客人您刚刚也参加过我们的有奖竞猜了……
您这么喜欢仙人微彩是我们的荣幸。
不过每位客人最多只能参加3次，请您谅解……",,,,,,,,,,,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
19,"第UNKNOWN期仙人微彩正在举办之中！
怎么样，要不要来试试今天的运气？",,,,,,,,,,,16,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
20,"哎呀，不得了了！
我家的陆行鸟雏鸟在山顶上迷了路，
不巧又碰上爱恶作剧的哥布林族捣乱，我现在正头疼呢。",,,,,,,,,,,21,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
21,"他们到处乱丢炸弹，我根本无法靠近……
拜托您了，请登上科瑞尔山的山顶，
把陆行鸟雏鸟救出来吧！",,,,,,,,,,,158,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
22,"您勇于挑战的身姿真是太令我感动了，
连摔下来的姿势都那么帅！可是陆行鸟雏鸟还在山顶瑟瑟发抖……
您能救救那孩子吗？",,,,,,,,,,,23,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
23,要再次进行挑战吗？,是,否,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
24,"感谢您帮助了迷路的陆行鸟雏鸟！
说不定它以后还会走失……
到时候也要拜托您了！",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
25,"可不可以麻烦你避开那些家伙的视线，
把这个易碎的壶送过去？
这个壶非常容易坏，运送的时候一定要小心轻放啊。",,,,,,,,,,,140,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
26,"可不可以麻烦你避开那些家伙的视线，
把这个易碎的壶送过去？
这个壶非常容易坏，运送的时候一定要小心轻放啊。",,,,,,,,,,,143,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
27,"大姐姐，不好了！
我的陆行鸟雏鸟在巨人柱上迷了路，
可是哥布林族却跑来捣乱，没办法帮助它！",,,,,,,,,,,28,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
28,"他们到处乱丢炸弹，我过不去……
请你登上巨人柱的顶端，
救救陆行鸟雏鸟吧！",,,,,,,,,,,159,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
29,"大姐姐努力的样子，我都看在眼里了！
但是陆行鸟雏鸟它还在顶上……
求求你，再加把劲吧！",,,,,,,,,,,30,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
30,要再次进行挑战吗？,是,否,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
31,"谢谢你救出了陆行鸟雏鸟！
啊，要是它下次再跑掉的话……
到时候就再拜托大姐姐帮忙啦！",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
32,"哎呀，您的背包好像满了呢……
在领取奖品之前还是先整理一下吧。",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
33,"您持有的仙人仙彩已经可以兑换了。
那么这就告诉您抽选结果！",,,,,,,,,,,100,764,0,0,0,0,0,0,0,0,0,0,1,0,2,True,False
34,"哎呀，你看起来很有天分啊。
怎么样，要不要跟我学跳舞？
我会把你培养成乌尔达哈的舞会之星的。",,,,,,,,,,,35,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
